Word,Freq,Rank
the,4321,1
and,2074,2
was,1141,3
his,907,4
that,880,5
with,726,6
you,586,7
had,521,8
but,487,9
said,415,10
for,387,11
him,376,12
The,346,13
like,328,14
not,313,15
man,303,16
have,283,17
one,264,18
Brown,261,19
this,254,20
all,253,21
which,240,22
were,240,23
from,229,24
more,226,25
out,206,26
Father,205,27
But,205,28
there,188,29
very,183,30
about,176,31
who,175,32
they,172,33
could,170,34
other,167,35
some,166,36
than,161,37
are,155,38
know,151,39
been,150,40
And,147,41
little,146,42
rather,142,43
into,139,44
only,138,45
what,137,46
priest,134,47
would,132,48
when,131,49
think,131,50
Flambeau,129,51
can,126,52
old,124,53
down,124,54
her,118,55
did,117,56
them,116,57
two,116,58
face,112,59
will,111,60
looked,109,61
seemed,107,62
You,106,63
black,106,64
something,104,65
even,104,66
still,101,67
then,101,68
see,98,69
head,98,70
their,97,71
just,96,72
has,96,73
say,95,74
long,93,75
such,93,76
she,89,77
quite,88,78
made,86,79
over,86,80
don,86,81
eyes,84,82
any,84,83
asked,83,84
your,82,85
heard,82,86
before,82,87
back,81,88
himself,81,89
house,80,90
mean,80,91
great,79,92
door,78,93
never,76,94
came,76,95
There,76,96
first,73,97
here,72,98
room,72,99
Then,72,100
cried,71,101
way,71,102
might,71,103
voice,71,104
most,70,105
must,70,106
looking,69,107
own,68,108
come,68,109
well,68,110
after,67,111
place,67,112
went,67,113
They,67,114
Well,66,115
really,66,116
much,66,117
though,66,118
sort,66,119
thing,64,120
things,64,121
again,64,122
look,63,123
tell,63,124
now,62,125
hair,61,126
saw,61,127
stood,61,128
men,61,129
yet,60,130
because,60,131
its,59,132
sea,59,133
round,59,134
almost,59,135
time,59,136
figure,59,137
thought,59,138
dark,58,139
found,58,140
His,58,141
those,57,142
What,57,143
friend,56,144
where,56,145
should,56,146
white,55,147
off,54,148
hat,54,149
got,54,150
table,54,151
hand,53,152
red,53,153
too,52,154
away,52,155
Boulnois,52,156
garden,52,157
half,51,158
last,51,159
turned,51,160
against,51,161
without,50,162
seen,50,163
That,50,164
another,50,165
Muscari,49,166
three,49,167
same,49,168
answered,49,169
once,49,170
small,48,171
across,48,172
end,48,173
replied,48,174
our,47,175
family,47,176
may,47,177
both,46,178
under,46,179
through,46,180
Why,46,181
good,45,182
why,45,183
also,45,184
young,44,185
began,44,186
towards,44,187
enough,44,188
moment,44,189
whole,43,190
suddenly,43,191
left,43,192
take,43,193
always,43,194
being,42,195
behind,42,196
right,42,197
these,42,198
get,42,199
grey,41,200
anything,41,201
how,41,202
kind,41,203
story,41,204
side,40,205
front,40,206
certain,40,207
Sir,40,208
nothing,40,209
This,40,210
want,39,211
name,39,212
many,38,213
make,38,214
girl,37,215
called,37,216
going,37,217
Fanshaw,36,218
people,36,219
gentleman,36,220
put,36,221
between,35,222
big,35,223
already,35,224
passage,35,225
took,34,226
Duke,34,227
find,34,228
words,34,229
window,34,230
short,34,231
light,34,232
Todhunter,33,233
English,33,234
fact,33,235
instant,33,236
every,32,237
trees,32,238
Miss,32,239
blue,32,240
eye,32,241
above,32,242
wall,32,243
along,32,244
told,32,245
road,31,246
open,31,247
word,31,248
few,30,249
ran,30,250
evening,30,251
glass,30,252
Pendragon,30,253
Glass,30,254
shall,30,255
woman,30,256
perhaps,30,257
call,29,258
For,29,259
secret,29,260
sat,29,261
high,29,262
fear,29,263
coming,29,264
Seymour,29,265
ever,29,266
sense,29,267
green,29,268
silence,29,269
brown,28,270
Yes,28,271
tall,28,272
course,28,273
dead,28,274
Harrogate,28,275
Major,28,276
blood,28,277
She,28,278
Hirsch,28,279
done,27,280
walked,27,281
fell,27,282
air,27,283
large,27,284
doctor,27,285
mere,27,286
wood,27,287
didn,27,288
let,27,289
except,27,290
corner,27,291
paper,27,292
knew,27,293
felt,27,294
sword,26,295
friends,26,296
myself,26,297
point,26,298
Cutler,26,299
wrong,26,300
upon,26,301
lady,26,302
Usher,26,303
suppose,26,304
part,26,305
less,26,306
set,25,307
tower,25,308
close,25,309
either,25,310
street,25,311
river,25,312
money,25,313
strange,25,314
feet,25,315
alone,25,316
poor,25,317
water,25,318
held,25,319
brother,25,320
Admiral,25,321
Hood,25,322
least,24,323
far,24,324
smile,24,325
police,24,326
gone,24,327
life,24,328
Kidd,24,329
When,24,330
happened,24,331
whom,24,332
somehow,24,333
opened,24,334
outside,24,335
nose,24,336
stand,24,337
father,24,338
else,24,339
new,24,340
help,24,341
Cray,24,342
wild,24,343
sure,24,344
gold,24,345
speak,23,346
case,23,347
appeared,23,348
indeed,23,349
each,23,350
simply,23,351
Lord,23,352
whether,23,353
Now,23,354
talk,23,355
strong,22,356
better,22,357
Todd,22,358
empty,22,359
common,22,360
broken,22,361
opposite,22,362
believe,22,363
French,22,364
hardly,22,365
spoke,22,366
full,22,367
courier,22,368
certainly,22,369
book,22,370
hear,21,371
seems,21,372
lay,21,373
mouth,21,374
among,21,375
shot,21,376
sent,21,377
low,21,378
cut,21,379
having,21,380
business,21,381
person,21,382
odd,21,383
however,21,384
answer,21,385
American,21,386
does,20,387
continued,20,388
Champion,20,389
somewhat,20,390
noise,20,391
manner,20,392
fancy,20,393
colour,20,394
chair,20,395
truth,20,396
All,20,397
till,20,398
third,20,399
bright,19,400
beyond,19,401
heavy,19,402
understand,19,403
One,19,404
God,19,405
second,19,406
clothes,19,407
Putnam,19,408
sitting,19,409
Prince,19,410
human,19,411
Don,19,412
country,19,413
read,19,414
inside,19,415
followed,18,416
wine,18,417
John,18,418
ship,18,419
until,18,420
hands,18,421
yellow,18,422
often,18,423
Mrs,18,424
pocket,18,425
private,18,426
everything,18,427
Roman,18,428
known,18,429
seem,18,430
different,18,431
passed,18,432
Philip,18,433
machine,18,434
reason,18,435
dress,18,436
fight,18,437
turn,18,438
flowers,18,439
body,18,440
bullet,17,441
Colonel,17,442
used,17,443
fire,17,444
banker,17,445
King,17,446
rose,17,447
real,17,448
burst,17,449
whose,17,450
meet,17,451
since,17,452
probably,17,453
crime,17,454
fallen,17,455
keep,17,456
doubt,17,457
queer,17,458
town,17,459
looks,17,460
next,17,461
silent,17,462
years,17,463
near,17,464
sky,17,465
added,17,466
ask,17,467
gave,17,468
give,17,469
equally,17,470
daughter,17,471
home,17,472
pretty,16,473
Carstairs,16,474
died,16,475
doesn,16,476
while,16,477
haired,16,478
exactly,16,479
public,16,480
Captain,16,481
poet,16,482
kill,16,483
Who,16,484
purple,16,485
saying,16,486
sharply,16,487
natural,16,488
coin,16,489
mind,16,490
gun,16,491
Bruno,16,492
remember,16,493
TRUE,16,494
Ezza,16,495
scarf,16,496
shoulders,16,497
tale,16,498
showed,16,499
laughing,16,500
nearly,16,501
expression,16,502
curious,15,503
couldn,15,504
silver,15,505
morning,15,506
square,15,507
matter,15,508
meant,15,509
fall,15,510
finger,15,511
standing,15,512
judge,15,513
dagger,15,514
staring,15,515
straight,15,516
Arthur,15,517
top,15,518
threw,15,519
deal,15,520
night,15,521
killed,15,522
observed,15,523
cannot,15,524
broad,15,525
husband,15,526
coat,15,527
late,15,528
bit,15,529
world,15,530
mountain,15,531
isn,15,532
turning,15,533
shadow,15,534
itself,15,535
huge,15,536
kept,14,537
slight,14,538
broke,14,539
murder,14,540
quietly,14,541
day,14,542
hold,14,543
pointed,14,544
moved,14,545
longer,14,546
abruptly,14,547
horrible,14,548
walking,14,549
Otto,14,550
pink,14,551
nobody,14,552
struck,14,553
grass,14,554
After,14,555
cook,14,556
German,14,557
Dubosc,14,558
pleasure,14,559
Claude,14,560
Thieves,14,561
James,14,562
question,14,563
Exmoor,14,564
fellow,14,565
curse,14,566
leave,14,567
brought,13,568
companion,13,569
son,13,570
Falconroy,13,571
scene,13,572
England,13,573
Not,13,574
taken,13,575
Park,13,576
explain,13,577
Wilson,13,578
given,13,579
hills,13,580
clerical,13,581
legs,13,582
free,13,583
rest,13,584
farther,13,585
within,13,586
earth,13,587
bald,13,588
coloured,13,589
running,13,590
neck,13,591
brigand,13,592
carried,13,593
talking,13,594
hole,13,595
science,13,596
tried,13,597
interest,13,598
touch,13,599
soon,13,600
mysterious,13,601
innocent,13,602
ropes,13,603
anyone,13,604
became,12,605
evidently,12,606
middle,12,607
blade,12,608
flower,12,609
around,12,610
six,12,611
hundred,12,612
together,12,613
show,12,614
shape,12,615
moon,12,616
ago,12,617
sand,12,618
sir,12,619
instantly,12,620
save,12,621
living,12,622
none,12,623
flung,12,624
repeated,12,625
present,12,626
hotel,12,627
actor,12,628
Collection,12,629
seat,12,630
dinner,12,631
presence,12,632
picked,12,633
line,12,634
won,12,635
appearance,12,636
trick,12,637
romantic,12,638
dressing,12,639
letter,12,640
written,12,641
papers,12,642
soldier,12,643
Rome,12,644
path,12,645
themselves,12,646
nearer,12,647
entirely,12,648
curiosity,12,649
wig,12,650
sprang,12,651
feel,12,652
says,12,653
crooked,12,654
scientific,12,655
valley,11,656
thousand,11,657
gate,11,658
Armagnac,11,659
pale,11,660
bank,11,661
dressed,11,662
seriously,11,663
hour,11,664
detective,11,665
silk,11,666
Parkinson,11,667
heart,11,668
handsome,11,669
telling,11,670
Pooley,11,671
stick,11,672
closed,11,673
sunset,11,674
Italian,11,675
four,11,676
mad,11,677
demanded,11,678
gravely,11,679
wore,11,680
cry,11,681
weapon,11,682
iron,11,683
glasses,11,684
making,11,685
spot,11,686
official,11,687
shoulder,11,688
ready,11,689
cold,11,690
wanted,11,691
usual,11,692
wonder,11,693
others,11,694
places,11,695
devil,11,696
lifted,11,697
doors,11,698
shouted,11,699
With,11,700
dropped,11,701
castle,11,702
use,11,703
witness,11,704
burglar,11,705
wrote,11,706
trouble,10,707
Before,10,708
houses,10,709
woods,10,710
Dalroy,10,711
stopped,10,712
excitement,10,713
arms,10,714
stranger,10,715
fence,10,716
especially,10,717
specially,10,718
distant,10,719
altered,10,720
yards,10,721
prisoner,10,722
brow,10,723
lower,10,724
rising,10,725
nor,10,726
serious,10,727
servants,10,728
thinking,10,729
curly,10,730
evidence,10,731
notion,10,732
thin,10,733
doing,10,734
tables,10,735
forward,10,736
How,10,737
host,10,738
instead,10,739
merely,10,740
rooms,10,741
legend,10,742
surprised,10,743
direction,10,744
brigands,10,745
terrible,10,746
character,10,747
run,10,748
dog,10,749
below,10,750
opening,10,751
drew,10,752
yourself,10,753
librarian,10,754
Pond,10,755
Society,10,756
partly,10,757
style,10,758
facts,10,759
enemy,10,760
happy,10,761
ill,10,762
steadily,10,763
lived,10,764
calling,10,765
steps,10,766
generally,10,767
particular,10,768
Sun,10,769
minute,10,770
city,10,771
shut,10,772
clad,10,773
change,10,774
caught,10,775
reading,10,776
fairy,10,777
faces,10,778
leaving,10,779
cigar,10,780
wouldn,10,781
ring,9,782
idea,9,783
started,9,784
Because,9,785
afraid,9,786
cleric,9,787
snow,9,788
break,9,789
ridge,9,790
cutlass,9,791
bandstand,9,792
Have,9,793
gardens,9,794
safe,9,795
hose,9,796
best,9,797
stared,9,798
Brun,9,799
ear,9,800
moustache,9,801
alive,9,802
anybody,9,803
dangerous,9,804
features,9,805
lamp,9,806
expected,9,807
Your,9,808
trousers,9,809
mile,9,810
Let,9,811
apparently,9,812
bad,9,813
eyebrows,9,814
servant,9,815
lord,9,816
importance,9,817
Oman,9,818
forgotten,9,819
larger,9,820
ears,9,821
company,9,822
popular,9,823
Aurora,9,824
wife,9,825
slightly,9,826
movement,9,827
possible,9,828
position,9,829
Pilgrim,9,830
times,9,831
wooden,9,832
surprise,9,833
deep,9,834
bottle,9,835
wasn,9,836
bent,9,837
corners,9,838
murdered,9,839
mine,9,840
flying,9,841
shade,9,842
poison,9,843
horses,9,844
growing,9,845
blind,9,846
spear,9,847
coast,9,848
guess,9,849
chance,9,850
jumped,9,851
locked,9,852
dim,9,853
Ethel,9,854
clever,9,855
remembered,9,856
clear,9,857
slowly,9,858
history,9,859
weak,9,860
purpose,9,861
somebody,9,862
sign,9,863
mountains,9,864
umbrella,9,865
cross,9,866
persons,9,867
twilight,9,868
tree,9,869
comes,9,870
noticed,9,871
beside,9,872
named,9,873
afterwards,9,874
Though,9,875
crowd,9,876
bell,9,877
fine,9,878
perfectly,9,879
ordinary,8,880
risen,8,881
lying,8,882
shock,8,883
stop,8,884
Did,8,885
important,8,886
lot,8,887
beard,8,888
stone,8,889
church,8,890
catch,8,891
These,8,892
notice,8,893
guessed,8,894
wide,8,895
subject,8,896
arm,8,897
piece,8,898
love,8,899
hard,8,900
peculiar,8,901
soldiers,8,902
impression,8,903
death,8,904
island,8,905
puzzled,8,906
Audrey,8,907
strangled,8,908
Perhaps,8,909
remained,8,910
rolled,8,911
golden,8,912
absent,8,913
past,8,914
days,8,915
met,8,916
Calhoun,8,917
streets,8,918
lean,8,919
miles,8,920
convict,8,921
fashioned,8,922
wicked,8,923
proprietor,8,924
further,8,925
note,8,926
sight,8,927
fixed,8,928
